iteration,chain,sigma,Kmat_pred_ksi,mu_pred
55,3,6.06507,135.422,135.185
56,3,5.03054,138.289,135.185
57,3,5.17098,132.457,135.185
58,3,6.12932,134.274,135.185
59,3,5.24976,126.737,135.185
60,3,6.2233,131.008,135.185
61,3,6.05256,122.998,135.185
62,3,5.4389,138.531,135.185
63,3,6.41446,122.433,135.185
64,3,6.14167,127.139,135.185
65,3,6.20373,130.598,135.185
66,3,4.76929,138.512,135.185
67,3,3.91379,134.894,135.185
68,3,4.41604,136.074,135.185
69,3,4.82453,131.525,135.185
70,3,5.85789,132.269,135.185
71,3,7.92036,133.089,135.185
72,3,5.89557,138.623,135.185
73,3,5.04455,144.97,135.185
74,3,6.80091,139.347,135.185
75,3,7.34105,135.828,135.185
76,3,7.01506,134.304,135.185
77,3,6.03695,140.218,135.185
78,3,5.68467,135.474,135.185
79,3,5.68744,126.757,135.185
80,3,6.25976,128.844,135.185
81,3,5.10302,140.307,135.185
82,3,4.99105,132.677,135.185
83,3,6.24227,140.302,135.185
84,3,6.37158,137.378,135.185
85,3,5.83109,132.733,135.185
86,3,5.08228,131.371,135.185
87,3,4.87399,139.257,135.185
88,3,5.25123,137.869,135.185
89,3,5.87494,125.931,135.185
90,3,5.92352,136.227,135.185
91,3,6.38815,131.279,135.185
92,3,5.69729,130.166,135.185
93,3,6.39066,144.019,135.185
94,3,6.17531,134.93,135.185
95,3,6.05331,132.946,135.185
96,3,6.21235,129.597,135.185
97,3,5.65201,134.793,135.185
98,3,5.88153,144.793,135.185
99,3,6.54141,127.693,135.185
100,3,6.57562,130.249,135.185
101,3,6.71778,140.339,135.185
102,3,5.60719,141.036,135.185
103,3,6.55281,131.551,135.185
104,3,6.49249,136.632,135.185
105,3,5.46973,132.399,135.185
106,3,6.03392,132.841,135.185
107,3,5.71157,132.26,135.185
108,3,6.48226,130.706,135.185
109,3,6.94786,152.969,135.185
110,3,5.49943,131.667,135.185
111,3,8.08664,120.754,135.185
112,3,8.24146,131.278,135.185
113,3,5.41545,134.909,135.185
114,3,5.1449,144.268,135.185
115,3,5.35981,141.17,135.185
116,3,5.28047,134.352,135.185
117,3,5.98281,121.733,135.185
118,3,5.69453,143.432,135.185
119,3,6.32474,124.167,135.185
120,3,5.44375,134.879,135.185
121,3,5.49707,130.96,135.185
122,3,6.61563,136.719,135.185
123,3,5.27907,139.144,135.185
124,3,6.40833,145.158,135.185
125,3,6.72103,133.43,135.185
126,3,6.77066,127.05,135.185
127,3,5.9813,143.755,135.185
128,3,6.07081,124.67,135.185
129,3,5.09023,134.119,135.185
130,3,5.67167,155.008,135.185
131,3,4.93403,136.125,135.185
132,3,5.29912,124.57,135.185
133,3,7.56698,145.801,135.185
134,3,7.34252,146.093,135.185
135,3,6.92437,131.611,135.185
136,3,7.09804,118.913,135.185
137,3,6.30535,139.103,135.185
138,3,5.30873,130.621,135.185
139,3,5.23993,134.155,135.185
140,3,5.04362,132.665,135.185
141,3,6.73261,136.824,135.185
142,3,5.15672,128.545,135.185
